"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1058","Should GET not sorted customers list (incorrect sort order)","api","Tue Feb 04 14:13:07 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","641","Should GET customers sorted by email in desc order","api","Tue Feb 04 14:13:08 YEKT 2025","passed","Tue Feb 04 14:13:09 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","877","Should GET customers sorted by email in asc order","webkit","Tue Feb 04 14:13:26 YEKT 2025","passed","Tue Feb 04 14:13:27 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","130","Should NOT GET the full list of customers with empty authorization token","webkit","Tue Feb 04 14:13:29 YEKT 2025","passed","Tue Feb 04 14:13:30 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","293","Should GET products filtred by country","webkit","Tue Feb 04 14:13:21 YEKT 2025","passed","Tue Feb 04 14:13:21 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","240","Should NOT GET the full list of customers with incorrect authorization token","firefox","Tue Feb 04 14:13:19 YEKT 2025","passed","Tue Feb 04 14:13:20 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","431","Should GET an empty list of customers by setting strict search string conditions","webkit","Tue Feb 04 14:13:24 YEKT 2025","passed","Tue Feb 04 14:13:25 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1076","Should GET customers sorted by name in desc order","api","Tue Feb 04 14:13:06 YEKT 2025","passed","Tue Feb 04 14:13:07 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1308","Should GET customers sorted by country in asc order","api","Tue Feb 04 14:13:05 YEKT 2025","passed","Tue Feb 04 14:13:07 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1241","Should GET customers sorted by email in desc order","firefox","Tue Feb 04 14:13:20 YEKT 2025","passed","Tue Feb 04 14:13:21 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","140","Should NOT GET the full list of customers with incorrect authorization token","api","Tue Feb 04 14:13:08 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1721","Should GET customers sorted by createdOn in desc order","firefox","Tue Feb 04 14:13:12 YEKT 2025","passed","Tue Feb 04 14:13:14 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","867","Should GET customers sorted by createdOn in asc order","firefox","Tue Feb 04 14:13:21 YEKT 2025","passed","Tue Feb 04 14:13:22 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","685","Should GET customers sorted by country in asc order","firefox","Tue Feb 04 14:13:17 YEKT 2025","passed","Tue Feb 04 14:13:18 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","530","Should GET products filtred by name","webkit","Tue Feb 04 14:13:20 YEKT 2025","passed","Tue Feb 04 14:13:21 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","396","Should GET products filtred by name","firefox","Tue Feb 04 14:13:16 YEKT 2025","passed","Tue Feb 04 14:13:17 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","175","Should GET products filtred by email","webkit","Tue Feb 04 14:13:21 YEKT 2025","passed","Tue Feb 04 14:13:21 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","512","Should GET an empty list of customers by setting strict search string conditions","api","Tue Feb 04 14:13:05 YEKT 2025","passed","Tue Feb 04 14:13:05 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1","Should GET an empty list of customers by setting strict search string conditions","firefox","Tue Feb 04 14:13:14 YEKT 2025","skipped","Tue Feb 04 14:13:14 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","778","Should GET customers sorted by name in desc order","firefox","Tue Feb 04 14:13:18 YEKT 2025","passed","Tue Feb 04 14:13:18 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","323","Should GET products filtred by country","api","Tue Feb 04 14:13:07 YEKT 2025","passed","Tue Feb 04 14:13:07 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","869","Should GET customers sorted by email in asc order","api","Tue Feb 04 14:13:07 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","824","Should GET customers sorted by name in asc order","webkit","Tue Feb 04 14:13:22 YEKT 2025","passed","Tue Feb 04 14:13:23 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1","Should GET not sorted products list (incorrect sort field)","firefox","Tue Feb 04 14:13:14 YEKT 2025","skipped","Tue Feb 04 14:13:14 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","295","Should NOT GET the full list of customers with empty authorization token","firefox","Tue Feb 04 14:13:19 YEKT 2025","passed","Tue Feb 04 14:13:19 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","716","Should GET not sorted products list (incorrect sort field)","webkit","Tue Feb 04 14:13:25 YEKT 2025","passed","Tue Feb 04 14:13:25 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1394","Should GET customers sorted by name in asc order","api","Tue Feb 04 14:13:00 YEKT 2025","passed","Tue Feb 04 14:13:01 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","113","Should NOT GET the full list of customers with incorrect authorization token","webkit","Tue Feb 04 14:13:30 YEKT 2025","passed","Tue Feb 04 14:13:30 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","801","Should GET customers sorted by createdOn in asc order","webkit","Tue Feb 04 14:13:29 YEKT 2025","passed","Tue Feb 04 14:13:30 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1728","Should GET customers sorted by createdOn in desc order","api","Tue Feb 04 14:13:00 YEKT 2025","passed","Tue Feb 04 14:13:02 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1068","Should GET the complete list of customers without sorting and filtering","webkit","Tue Feb 04 14:13:17 YEKT 2025","passed","Tue Feb 04 14:13:18 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1020","Should GET customers sorted by createdOn in desc order","webkit","Tue Feb 04 14:13:24 YEKT 2025","passed","Tue Feb 04 14:13:25 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1112","Should GET full list of customers with invalid value for filtering by the Country field","api","Tue Feb 04 14:13:00 YEKT 2025","passed","Tue Feb 04 14:13:01 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","995","Should GET customers sorted by country in desc order","api","Tue Feb 04 14:13:07 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","285","Should GET customers filtred by Country","webkit","Tue Feb 04 14:13:22 YEKT 2025","passed","Tue Feb 04 14:13:22 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1130","Should GET customers sorted by country in desc order","firefox","Tue Feb 04 14:13:18 YEKT 2025","passed","Tue Feb 04 14:13:19 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","513","Should GET products filtred by country","firefox","Tue Feb 04 14:13:17 YEKT 2025","passed","Tue Feb 04 14:13:18 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","476","Should GET products filtred by email","firefox","Tue Feb 04 14:13:17 YEKT 2025","passed","Tue Feb 04 14:13:17 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1","Should GET full list of customers with invalid value for filtering by the Country field","firefox","Tue Feb 04 14:13:13 YEKT 2025","failed","Tue Feb 04 14:13:13 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","0","Should GET not sorted customers list (incorrect sort order)","firefox","Tue Feb 04 14:13:14 YEKT 2025","skipped","Tue Feb 04 14:13:14 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","617","Should GET customers filtred by Country","api","Tue Feb 04 14:13:07 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1194","Should GET customers sorted by name in desc order","webkit","Tue Feb 04 14:13:25 YEKT 2025","passed","Tue Feb 04 14:13:26 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1117","Should GET the complete list of customers without sorting and filtering","api","Tue Feb 04 14:13:00 YEKT 2025","passed","Tue Feb 04 14:13:01 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1096","Should GET customers sorted by email in asc order","firefox","Tue Feb 04 14:13:19 YEKT 2025","passed","Tue Feb 04 14:13:20 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","150","Should NOT GET the full list of customers with empty authorization token","api","Tue Feb 04 14:13:08 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1596","Should GET customers sorted by country in desc order","webkit","Tue Feb 04 14:13:28 YEKT 2025","passed","Tue Feb 04 14:13:29 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","166","Should GET products filtred by email","api","Tue Feb 04 14:13:07 YEKT 2025","passed","Tue Feb 04 14:13:07 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","786","Should GET customers sorted by createdOn in asc order","api","Tue Feb 04 14:13:09 YEKT 2025","passed","Tue Feb 04 14:13:10 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","183","Should GET full list of customers with invalid value for filtering by the Country field","webkit","Tue Feb 04 14:13:22 YEKT 2025","passed","Tue Feb 04 14:13:23 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","910","Should GET products filtred by name","api","Tue Feb 04 14:13:06 YEKT 2025","passed","Tue Feb 04 14:13:07 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1564","Should GET not sorted products list (incorrect sort field)","api","Tue Feb 04 14:13:05 YEKT 2025","passed","Tue Feb 04 14:13:07 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","2186","Should GET customers sorted by name in asc order","firefox","Tue Feb 04 14:13:12 YEKT 2025","passed","Tue Feb 04 14:13:14 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","607","Should GET customers filtred by Country","firefox","Tue Feb 04 14:13:18 YEKT 2025","passed","Tue Feb 04 14:13:19 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1315","Should GET customers sorted by email in desc order","webkit","Tue Feb 04 14:13:27 YEKT 2025","passed","Tue Feb 04 14:13:29 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","887","Should GET the complete list of customers without sorting and filtering","firefox","Tue Feb 04 14:13:12 YEKT 2025","passed","Tue Feb 04 14:13:13 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","541","Should GET not sorted customers list (incorrect sort order)","webkit","Tue Feb 04 14:13:26 YEKT 2025","passed","Tue Feb 04 14:13:26 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","719","Should GET customers sorted by country in asc order","webkit","Tue Feb 04 14:13:27 YEKT 2025","passed","Tue Feb 04 14:13:28 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
